tab 	rmag_anisotropy
anisotropy_flag	anisotropy_n	anisotropy_s1	anisotropy_s2	anisotropy_s3	anisotropy_s4	anisotropy_s5	anisotropy_s6	anisotropy_sigma	anisotropy_tilt_correction	anisotropy_type	anisotropy_unit	er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes
g	15	0.3434	0.3412	0.3154	-0.0002	0.0026	-0.0020	0.0001	-1	AMS	SI		This study	unknown	CUBE8886301	CUBE888630	CUBE8886301	CUBE8886301:LP-AN-MS		LP-X:AE-H:LP-AN-MS
g	15	0.3434000015	0.3411999941	0.3154000044	-0.0002000000	0.0026000000	-0.0020000001	0.0001	0	AMS	SI		This study	unknown	CUBE8886301	CUBE888630	CUBE8886301	CUBE8886301:LP-AN-MS		LP-X:AE-H:LP-AN-MS
g	15	0.3366	0.3413	0.3221	0.0019	0.0019	0.0011	0.0006	-1	AMS	SI		This study	unknown	CUBE8885911	CUBE888591	CUBE8885911	CUBE8885911:LP-AN-MS		LP-X:AE-H:LP-AN-MS
g	15	0.3366000056	0.3413000107	0.3221000135	0.0019000000	0.0019000000	0.0011000000	0.0006	0	AMS	SI		This study	unknown	CUBE8885911	CUBE888591	CUBE8885911	CUBE8885911:LP-AN-MS		LP-X:AE-H:LP-AN-MS
g	15	0.3452	0.3406	0.3141	0.0011	-0.0011	-0.0001	0.0000	-1	AMS	SI		This study	unknown	CUBE8886391	CUBE888639	CUBE8886391	CUBE8886391:LP-AN-MS		LP-X:AE-H:LP-AN-MS
g	15	0.3452000022	0.3406000137	0.3140999973	0.0011000000	-0.0011000000	-0.0001000000	0.0000	0	AMS	SI		This study	unknown	CUBE8886391	CUBE888639	CUBE8886391	CUBE8886391:LP-AN-MS		LP-X:AE-H:LP-AN-MS
g	15	0.3387	0.3382	0.3231	0.0002	0.0010	0.0011	0.0002	-1	AMS	SI		This study	unknown	CUBE8884861	CUBE888486	CUBE8884861	CUBE8884861:LP-AN-MS		LP-X:AE-H:LP-AN-MS
g	15	0.3386999965	0.3382000029	0.3231000006	0.0002000000	0.0010000000	0.0011000000	0.0002	0	AMS	SI		This study	unknown	CUBE8884861	CUBE888486	CUBE8884861	CUBE8884861:LP-AN-MS		LP-X:AE-H:LP-AN-MS
g	15	0.3376	0.3369	0.3255	0.0005	-0.0018	-0.0005	0.0001	-1	AMS	SI		This study	unknown	CUBE8886151	CUBE888615	CUBE8886151	CUBE8886151:LP-AN-MS		LP-X:AE-H:LP-AN-MS
g	15	0.3375999928	0.3368999958	0.3255000114	0.0005000000	-0.0018000000	-0.0005000000	0.0001	0	AMS	SI		This study	unknown	CUBE8886151	CUBE888615	CUBE8886151	CUBE8886151:LP-AN-MS		LP-X:AE-H:LP-AN-MS
g	15	0.3494	0.3462	0.3044	0.0013	0.0001	0.0012	0.0008	-1	AMS	SI		This study	unknown	CUBE8885041	CUBE888504	CUBE8885041	CUBE8885041:LP-AN-MS		LP-X:AE-H:LP-AN-MS
g	15	0.3494000137	0.3461999893	0.3043999970	0.0013000000	0.0001000000	0.0012000001	0.0008	0	AMS	SI		This study	unknown	CUBE8885041	CUBE888504	CUBE8885041	CUBE8885041:LP-AN-MS		LP-X:AE-H:LP-AN-MS
g	15	0.3428	0.3415	0.3157	-0.0009	0.0007	0.0012	0.0002	-1	AMS	SI		This study	unknown	CUBE8885211	CUBE888521	CUBE8885211	CUBE8885211:LP-AN-MS		LP-X:AE-H:LP-AN-MS
g	15	0.3427999914	0.3415000141	0.3156999946	-0.0009000000	0.0007000000	0.0012000001	0.0002	0	AMS	SI		This study	unknown	CUBE8885211	CUBE888521	CUBE8885211	CUBE8885211:LP-AN-MS		LP-X:AE-H:LP-AN-MS
g	15	0.3452	0.3436	0.3112	0.0001	-0.0014	-0.0004	0.0002	-1	AMS	SI		This study	unknown	CUBE8885331	CUBE888533	CUBE8885331	CUBE8885331:LP-AN-MS		LP-X:AE-H:LP-AN-MS
