tab	magic_measurements
er_specimen_name	er_sample_name	er_site_name	er_location_name	magic_experiment_name	measurement_number	measurement_sd_z	treatment_dc_field	measurement_flag	treatment_dc_field_phi	er_citation_names	measurement_dec	measurement_sd_x	measurement_description	measurement_standard	magic_software_packages	measurement_positions	magic_instrument_codes	measurement_temp	measurement_magn_moment	treatment_ac_field	er_analyst_mail_names	treatment_temp	measurement_csd	measurement_sd_y	treatment_dc_field_theta	measurement_inc	magic_method_codes
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	1	2.14e-09	0	g		This study	37.2	1.35e-08			pmagpy-3.2.1	1		273	3.93e-07	0		273	2.3	8.63e-09		-53.2	LT-NO:LP-DIR-T
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	2	2.78e-09	0	g		This study	36.7	1.25e-08			pmagpy-3.2.1	1		273	4.29e-07	0		77	2.0	7.51e-09		-50.9	LT-LT-Z:LP-DIR-T
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	3	3.42e-09	0	g		This study	34.8	1.65e-08			pmagpy-3.2.1	1		273	5.32e-07	0		373.0	2.3	1.28e-08		-48.5	LT-T-Z:LP-DIR-T
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	4	1.04e-08	0	g		This study	029.3	2.39e-08			pmagpy-3.2.1	1	hargrave 2014-10-22 15:53:24	273	6.71e-07	0		423.0	3.0	2.34e-08		-47.6	LT-T-Z:LP-DIR-T
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	5	7.42e-09	0	g		This study	028.6	2.00e-08			pmagpy-3.2.1	1	hargrave 2014-10-27 16:19:50	273	6.55e-07	0		473.0	2.2	1.31e-08		-47.3	LT-T-Z:LP-DIR-T
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	6	4.18e-09	0	g		This study	028.5	1.81e-08			pmagpy-3.2.1	1	hargrave 2014-10-28 13:42:19	273	5.27e-07	0		523.0	3.1	2.17e-08		-49.3	LT-T-Z:LP-DIR-T
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	7	2.98e-09	0	g		This study	034.0	1.42e-08			pmagpy-3.2.1	1	hargrave 2014-10-28 20:40:03	273	3.81e-07	0		573.0	3.0	1.36e-08		-52.8	LT-T-Z:LP-DIR-T
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	8	1.87e-09	0	g		This study	040.3	7.58e-09			pmagpy-3.2.1	1	hargrave 2014-10-29 20:53:02	273	2.40e-07	0		623.0	2.0	3.67e-09		-57.3	LT-T-Z:LP-DIR-T
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	9	1.36e-09	0	g		This study	043.8	9.19e-09			pmagpy-3.2.1	1	hargrave 2014-11-03 17:13:00	273	1.97e-07	0		673.0	3.2	5.83e-09		-58.4	LT-T-Z:LP-DIR-T
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	10	1.36e-09	0	g		This study	046.8	5.82e-09			pmagpy-3.2.1	1	hargrave 2014-11-04 12:03:42	273	1.78e-07	0		698.0	2.1	2.86e-09		-59.9	LT-T-Z:LP-DIR-T
