tab 	er_samples
er_citation_names	er_location_name	er_sample_name	er_site_name	sample_azimuth	sample_bed_dip	sample_bed_dip_direction	sample_dip
This study	unknown	CUBE8886301	CUBE888630	0.0	0	90	0.0
This study	unknown	CUBE8885911	CUBE888591	0.0	0	90	0.0
This study	unknown	CUBE8886391	CUBE888639	0.0	0	90	0.0
This study	unknown	CUBE8884861	CUBE888486	0.0	0	90	0.0
This study	unknown	CUBE8886151	CUBE888615	0.0	0	90	0.0
This study	unknown	CUBE8885041	CUBE888504	0.0	0	90	0.0
This study	unknown	CUBE8885211	CUBE888521	0.0	0	90	0.0
This study	unknown	CUBE8885331	CUBE888533	0.0	0	90	0.0
This study	unknown	CUBE8885341	CUBE888534	0.0	0	90	0.0
This study	unknown	CUBE8885351	CUBE888535	0.0	0	90	0.0
This study	unknown	CUBE8885451	CUBE888545	0.0	0	90	0.0
This study	unknown	CUBE8877741	CUBE887774	0.0	0	90	0.0
This study	unknown	CUBE8883781	CUBE888378	0.0	0	90	0.0
This study	unknown	CUBE8883011	CUBE888301	0.0	0	90	0.0
This study	unknown	CUBE8879841	CUBE887984	0.0	0	90	0.0
This study	unknown	CUBE8878381	CUBE887838	0.0	0	90	0.0
This study	unknown	CUBE8882101	CUBE888210	0.0	0	90	0.0
This study	unknown	CUBE8883331	CUBE888333	0.0	0	90	0.0
This study	unknown	CUBE8880361	CUBE888036	0.0	0	90	0.0
This study	unknown	CUBE8879311	CUBE887931	0.0	0	90	0.0
This study	unknown	CUBE8873821	CUBE887382	0.0	0	90	0.0
This study	unknown	CUBE8880751	CUBE888075	0.0	0	90	0.0
This study	unknown	CUBE8875181	CUBE887518	0.0	0	90	0.0
This study	unknown	CUBE9976041	CUBE997604	0.0	0	90	0.0
This study	unknown	CUBE8878481	CUBE887848	0.0	0	90	0.0
This study	unknown	CUBE8876651	CUBE887665	0.0	0	90	0.0
This study	unknown	CUBE8877091	CUBE887709	0.0	0	90	0.0
This study	unknown	CUBE8877751	CUBE887775	0.0	0	90	0.0
This study	unknown	CUBE8878411	CUBE887841	0.0	0	90	0.0
This study	unknown	CUBE8877431	CUBE887743	0.0	0	90	0.0
This study	unknown	CUBE8877441	CUBE887744	0.0	0	90	0.0
This study	unknown	CUBE8877081	CUBE887708	0.0	0	90	0.0
This study	unknown	CUBE8876161	CUBE887616	0.0	0	90	0.0
This study	unknown	CUBE8876661	CUBE887666	0.0	0	90	0.0
This study	unknown	CUBE8876151	CUBE887615	0.0	0	90	0.0
This study	unknown	CUBE8870961	CUBE887096	0.0	0	90	0.0
This study	unknown	CUBE8871501	CUBE887150	0.0	0	90	0.0
This study	unknown	CUBE8871511	CUBE887151	0.0	0	90	0.0
This study	unknown	CUBE8871491	CUBE887149	0.0	0	90	0.0
This study	unknown	CUBE8870951	CUBE887095	0.0	0	90	0.0
This study	unknown	CUBE8872601	CUBE887260	0.0	0	90	0.0
This study	unknown	CUBE8872591	CUBE887259	0.0	0	90	0.0
This study	unknown	CUBE8870381	CUBE887038	0.0	0	90	0.0
This study	unknown	CUBE8870371	CUBE887037	0.0	0	90	0.0
This study	unknown	CUBE8870361	CUBE887036	0.0	0	90	0.0
This study	unknown	CUBE8870971	CUBE887097	0.0	0	90	0.0
This study	unknown	CUBE8868561	CUBE886856	0.0	0	90	0.0
This study	unknown	CUBE8868571	CUBE886857	0.0	0	90	0.0
This study	unknown	CUBE8872961	CUBE887296	0.0	0	90	0.0
This study	unknown	CUBE8869691	CUBE886969	0.0	0	90	0.0
This study	unknown	CUBE8869681	CUBE886968	0.0	0	90	0.0
This study	unknown	CUBE8868581	CUBE886858	0.0	0	90	0.0
This study	unknown	CUBE8866741	CUBE886674	0.0	0	90	0.0
This study	unknown	CUBE8866751	CUBE886675	0.0	0	90	0.0
This study	unknown	CUBE8867911	CUBE886791	0.0	0	90	0.0
This study	unknown	CUBE8867891	CUBE886789	0.0	0	90	0.0
This study	unknown	CUBE8867901	CUBE886790	0.0	0	90	0.0
