tab	magic_measurements
er_specimen_name	er_sample_name	er_site_name	er_location_name	magic_experiment_name	measurement_number	measurement_description	magic_software_packages	measurement_csd	measurement_flag	measurement_standard	measurement_magn_moment	magic_instrument_codes	treatment_temp	measurement_temp	measurement_positions	treatment_dc_field	treatment_dc_field_phi	magic_method_codes	measurement_sd_z	measurement_sd_x	measurement_dec	er_analyst_mail_names	treatment_dc_field_theta	measurement_sd_y	measurement_inc	treatment_ac_field	er_citation_names
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	1		pmagpy-3.2.1	2.3	g		3.93e-07		273	273	1	0		LT-NO:LP-DIR-T	2.14e-09	1.35e-08	37.2			8.63e-09	-53.2	0	This study
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	2		pmagpy-3.2.1	2.0	g		4.29e-07		77	273	1	0		LT-LT-Z:LP-DIR-T	2.78e-09	1.25e-08	36.7			7.51e-09	-50.9	0	This study
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	3		pmagpy-3.2.1	2.3	g		5.32e-07		373.0	273	1	0		LT-T-Z:LP-DIR-T	3.42e-09	1.65e-08	34.8			1.28e-08	-48.5	0	This study
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	4		pmagpy-3.2.1	3.0	g		6.71e-07	hargrave 2014-10-22 15:53:24	423.0	273	1	0		LT-T-Z:LP-DIR-T	1.04e-08	2.39e-08	029.3			2.34e-08	-47.6	0	This study
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	5		pmagpy-3.2.1	2.2	g		6.55e-07	hargrave 2014-10-27 16:19:50	473.0	273	1	0		LT-T-Z:LP-DIR-T	7.42e-09	2.00e-08	028.6			1.31e-08	-47.3	0	This study
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	6		pmagpy-3.2.1	3.1	g		5.27e-07	hargrave 2014-10-28 13:42:19	523.0	273	1	0		LT-T-Z:LP-DIR-T	4.18e-09	1.81e-08	028.5			2.17e-08	-49.3	0	This study
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	7		pmagpy-3.2.1	3.0	g		3.81e-07	hargrave 2014-10-28 20:40:03	573.0	273	1	0		LT-T-Z:LP-DIR-T	2.98e-09	1.42e-08	034.0			1.36e-08	-52.8	0	This study
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	8		pmagpy-3.2.1	2.0	g		2.40e-07	hargrave 2014-10-29 20:53:02	623.0	273	1	0		LT-T-Z:LP-DIR-T	1.87e-09	7.58e-09	040.3			3.67e-09	-57.3	0	This study
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	9		pmagpy-3.2.1	3.2	g		1.97e-07	hargrave 2014-11-03 17:13:00	673.0	273	1	0		LT-T-Z:LP-DIR-T	1.36e-09	9.19e-09	043.8			5.83e-09	-58.4	0	This study
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	10		pmagpy-3.2.1	2.1	g		1.78e-07	hargrave 2014-11-04 12:03:42	698.0	273	1	0		LT-T-Z:LP-DIR-T	1.36e-09	5.82e-09	046.8			2.86e-09	-59.9	0	This study
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	11		pmagpy-3.2.1	2.3	g		1.64e-07	hargrave 2014-11-10 12:53:05	723.0	273	1	0		LT-T-Z:LP-DIR-T	8.90e-10	5.48e-09	049.9			3.62e-09	-61.0	0	This study
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	12		pmagpy-3.2.1	1.7	g		1.52e-07	hargrave 2014-11-10 22:11:56	748.0	273	1	0		LT-T-Z:LP-DIR-T	5.24e-10	3.62e-09	053.3			2.88e-09	-63.2	0	This study
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	13		pmagpy-3.2.1	2.7	g		1.41e-07	hargrave 2014-11-13 11:46:05	773.0	273	1	0		LT-T-Z:LP-DIR-T	1.20e-09	5.59e-09	059.3			3.57e-09	-64.0	0	This study
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	14		pmagpy-3.2.1	1.7	g		1.33e-07	hargrave 2014-11-17 17:26:46	788.0	273	1	0		LT-T-Z:LP-DIR-T	5.73e-10	3.75e-09	064.8			1.35e-09	-65.4	0	This study
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	15		pmagpy-3.2.1	0.5	g		1.29e-07	hargrave 2014-11-24 18:17:16	803.0	273	1	0		LT-T-Z:LP-DIR-T	6.38e-10	9.51e-10	065.5			8.48e-10	-66.0	0	This study
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	16		pmagpy-3.2.1	0.5	g		1.28e-07	hargrave 2014-12-01 16:59:18	818.0	273	1	0		LT-T-Z:LP-DIR-T	7.35e-10	1.06e-09	069.9			7.81e-10	-66.2	0	This study
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	17		pmagpy-3.2.1	0.6	g		1.23e-07	hargrave 2014-12-02 00:45:16	823.0	273	1	0		LT-T-Z:LP-DIR-T	8.68e-10	9.19e-10	069.3			1.01e-09	-66.0	0	This study
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	18		pmagpy-3.2.1	0.8	g		1.18e-07	hargrave 2014-12-05 13:40:46	828.0	273	1	0		LT-T-Z:LP-DIR-T	1.06e-09	1.51e-09	075.0			9.15e-10	-66.3	0	This study
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	19		pmagpy-3.2.1	0.7	g		1.14e-07	hargrave 2014-12-06 11:57:52	833.0	273	1	0		LT-T-Z:LP-DIR-T	2.61e-10	1.26e-09	072.8			8.36e-10	-66.7	0	This study
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	20		pmagpy-3.2.1	0.6	g		1.10e-07	hargrave 2014-12-08 15:18:37	838.0	273	1	0		LT-T-Z:LP-DIR-T	5.56e-10	1.12e-09	080.1			6.62e-10	-66.9	0	This study
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	21		pmagpy-3.2.1	0.8	g		1.08e-07	hargrave 2014-12-08 22:11:29	843.0	273	1	0		LT-T-Z:LP-DIR-T	7.95e-10	1.35e-09	078.7			7.31e-10	-66.2	0	This study
